Time (s),Amplitude
5.1710526315789474e-08,99999999.89273125
5.1842105263157896e-08,99999999.88451536
5.197368421052632e-08,99999999.87630737
5.2105263157894734e-08,99999999.86810783
5.2236842105263156e-08,99999999.8599173
5.236842105263158e-08,99999999.85173635
5.25e-08,99999999.84356554
5.263157894736842e-08,99999999.83540541
5.2763157894736845e-08,99999999.82725653
5.289473684210526e-08,99999999.81911947
5.302631578947368e-08,99999999.81099476
5.3157894736842105e-08,99999999.80288297
5.328947368421053e-08,99999999.79478467
5.342105263157895e-08,99999999.78670037
5.355263157894737e-08,99999999.77863066
5.368421052631579e-08,99999999.77057607
5.381578947368421e-08,99999999.76253718
5.394736842105263e-08,99999999.75451452
5.4078947368421054e-08,99999999.74650863
5.4210526315789476e-08,99999999.73852006
5.434210526315789e-08,99999999.73054937
5.4473684210526314e-08,99999999.72259709
5.4605263157894736e-08,99999999.71466377
5.473684210526316e-08,99999999.70674996
5.486842105263158e-08,99999999.69885619
5.5e-08,99999999.69098301
5.513157894736842e-08,99999999.68313093
5.526315789473684e-08,99999999.67530052
5.539473684210526e-08,99999999.66749232
5.5526315789473685e-08,99999999.65970683
5.565789473684211e-08,99999999.6519446
5.578947368421053e-08,99999999.64420615
5.5921052631578945e-08,99999999.63649203
5.605263157894737e-08,99999999.62880275
5.618421052631579e-08,99999999.62113884
5.631578947368421e-08,99999999.61350083
5.6447368421052634e-08,99999999.60588923
5.657894736842105e-08,99999999.59830457
5.671052631578947e-08,99999999.59074737
5.6842105263157894e-08,99999999.58321814
5.6973684210526316e-08,99999999.57571739
5.710526315789474e-08,99999999.56824565
5.723684210526316e-08,99999999.56080341
5.7368421052631576e-08,99999999.55339119
5.75e-08,99999999.5460095
5.763157894736842e-08,99999999.53865884
5.776315789473684e-08,99999999.5313397
5.7894736842105265e-08,99999999.5240526
5.802631578947368e-08,99999999.51679803
5.81578947368421e-08,99999999.5095765
5.8289473684210525e-08,99999999.50238848
5.842105263157895e-08,99999999.49523446
5.855263157894737e-08,99999999.48811495
5.868421052631579e-08,99999999.48103042
5.881578947368421e-08,99999999.47398137
5.894736842105263e-08,99999999.46696827
5.907894736842105e-08,99999999.4599916
5.9210526315789474e-08,99999999.45305184
5.93421052631579e-08,99999999.44614947
5.947368421052632e-08,99999999.43928494
5.960526315789473e-08,99999999.43245874
5.973684210526316e-08,99999999.42567134
5.986842105263158e-08,99999999.41892318
6e-08,99999999.41221474
6.013157894736842e-08,99999999.40554649
6.026315789473684e-08,99999999.39891885
6.039473684210527e-08,99999999.3923323
6.052631578947368e-08,99999999.3857873
6.06578947368421e-08,99999999.37928425
6.078947368421053e-08,99999999.37282364
6.092105263157894e-08,99999999.3664059
6.105263157894737e-08,99999999.36003146
6.118421052631579e-08,99999999.35370076
6.131578947368422e-08,99999999.34741424
6.144736842105263e-08,99999999.34117232
6.157894736842105e-08,99999999.33497542
6.171052631578948e-08,99999999.328824
6.184210526315789e-08,99999999.32271843
6.197368421052632e-08,99999999.31665915
6.210526315789474e-08,99999999.3106466
6.223684210526315e-08,99999999.30468114
