Frequency (Hz),Power (dBm)
155171724.1,-139.2525702
155483921.4,-82.85474396
155796118.6,-137.5654058
156108315.9,-83.84863281
156420513.1,-135.3799505
156732710.4,-83.70703888
157044907.7,-139.4473333
157357104.9,-84.8780365
157669302.2,-134.9821234
157981499.4,-82.60218811
158293696.7,-129.2968969
158605893.9,-82.67299652
158918091.2,-130.0725012
159230288.4,-83.38760376
159542485.7,-144.8501196
159854683,-84.96649933
160166880.2,-139.0110693
160479077.5,-83.45209503
160791274.7,-131.6221075
161103472,-83.37355042
161415669.2,-132.9664068
161727866.5,-82.53214264
162040063.8,-140.0432043
162352261,-83.30391693
162664458.3,-138.7182074
162976655.5,-82.51542664
163288852.8,-133.8346472
163601050,-82.61621094
163913247.3,-134.1345892
164225444.5,-82.81767273
164537641.8,-136.8539495
164849839.1,-82.91771698
165162036.3,-132.6031713
165474233.6,-83.07215118
165786430.8,-130.2477942
166098628.1,-82.46077728
166410825.3,-129.9869909
166723022.6,-83.96896362
167035219.9,-128.7156439
167347417.1,-82.29266357
167659614.4,-129.6498327
167971811.6,-80.91769409
168284008.9,-137.6136999
168596206.1,-81.75415039
168908403.4,-142.9678106
169220600.6,-82.73390961
169532797.9,-137.6271276
169844995.2,-82.58481598
170157192.4,-135.6722937
170469389.7,-81.70519257
170781586.9,-129.9053411
171093784.2,-81.43482971
171405981.4,-137.4547033
171718178.7,-82.69166565
172030375.9,-134.2548742
172342573.2,-80.56925964
172654770.5,-133.6582098
172966967.7,-81.9150238
173279165,-132.3295355
173591362.2,-81.72550201
173903559.5,-129.2355413
174215756.7,-81.58522797
174527954,-136.8113623
174840151.3,-81.66249085
175152348.5,-137.3516302
175464545.8,-81.53102875
175776743,-134.2502966
176088940.3,-81.95077515
176401137.5,-148.593421
176713334.8,-81.39305115
177025532,-133.5662603
177337729.3,-81.16017151
177649926.6,-129.3559027
177962123.8,-80.50543213
178274321.1,-133.1005011
178586518.3,-81.662323
178898715.6,-138.8117895
179210912.8,-81.36035156
179523110.1,-135.31359
179835307.4,-80.31757355
180147504.6,-139.3213415
180459701.9,-82.02649689
180771899.1,-132.2933264
181084096.4,-80.88017273
181396293.6,-127.3672247
181708490.9,-81.18755341
182020688.1,-132.8566351
182332885.4,-80.64093781
182645082.7,-139.3690863
182957279.9,-80.86306763
183269477.2,-130.9226446
183581674.4,-81.0072937
183893871.7,-138.9034948
184206068.9,-80.7546463
184518266.2,-141.8713446
184830463.5,-81.1759491
185142660.7,-132.2173986
185454858,-80.81526947
185767055.2,-129.6291265
186079252.5,-81.17777252
186391449.7,-131.7745886
186703647,-80.67598724
187015844.2,-132.394309
187328041.5,-80.94074249
187640238.8,-133.2227697
187952436,-80.29122925
188264633.3,-144.5541906
188576830.5,-80.29361725
188889027.8,-133.3032293
189201225,-80.08654022
189513422.3,-132.0047674
189825619.6,-79.79273987
190137816.8,-146.9322424
190450014.1,-79.85832977
190762211.3,-132.4365301
191074408.6,-80.69853973
191386605.8,-143.106513
191698803.1,-80.18720245
192011000.3,-129.0238409
192323197.6,-80.64744568
192635394.9,-139.5291967
192947592.1,-79.77966309
193259789.4,-135.6893377
193571986.6,-80.36779022
193884183.9,-137.0675116
194196381.1,-80.87213135
194508578.4,-145.1608191
194820775.6,-79.40317535
195132972.9,-140.2508764
195445170.2,-80.13828278
195757367.4,-144.0448065
196069564.7,-80.23767853
196381761.9,-140.8318396
196693959.2,-79.60801697
197006156.4,-131.7886267
197318353.7,-79.83822632
197630551,-134.0737066
197942748.2,-79.64732361
198254945.5,-141.983283
198567142.7,-80.22222137
198879340,-142.7911444
199191537.2,-79.48084259
199503734.5,-131.2263708
199815931.7,-80.01017761
200128129,-131.2825384
200440326.3,-79.24945831
200752523.5,-142.2155981
201064720.8,-79.63544464
201376918,-134.7671728
201689115.3,-79.06748199
202001312.5,-136.481925
202313509.8,-80.44636536
202625707.1,-131.477149
202937904.3,-80.08566284
203250101.6,-143.9124212
203562298.8,-78.69089508
203874496.1,-132.0492163
204186693.3,-78.4896698
204498890.6,-128.3923254
204811087.8,-78.89329529
205123285.1,-132.3662634
205435482.4,-78.59799957
205747679.6,-134.0707312
206059876.9,-80.01216125
206372074.1,-131.921195
206684271.4,-79.89103699
206996468.6,-130.3720922
