TIME (S),Amplitude (V)
-4.97911953e-06,-1.30781250e-02
-4.97907953e-06,-9.33281250e-02
-4.97903953e-06,-1.78828125e-01
-4.97899953e-06,-1.87515625e-01
-4.97895953e-06,-1.02250000e-01
-4.97891953e-06,-2.32343750e-02
-4.97887953e-06,2.54218750e-02
-4.97883953e-06,9.40625000e-02
-4.97879953e-06,1.54843750e-01
-4.97875953e-06,1.82718750e-01
-4.97871953e-06,1.24687500e-01
-4.97867953e-06,3.04687500e-03
-4.97863953e-06,-6.97656250e-02
-4.97859953e-06,-9.88125000e-02
-4.97855953e-06,-1.44656250e-01
-4.97851953e-06,-1.84671875e-01
-4.97847953e-06,-1.26765625e-01
-4.97843953e-06,-6.43750000e-03
-4.97839953e-06,7.84843750e-02
-4.97835953e-06,1.17046875e-01
-4.97831953e-06,1.29093750e-01
-4.97827953e-06,1.58093750e-01
-4.97823953e-06,1.24468750e-01
-4.97819953e-06,-7.89062500e-03
-4.97815953e-06,-1.09187500e-01
-4.97811953e-06,-1.45671875e-01
-4.97807953e-06,-1.38718750e-01
-4.97803953e-06,-1.33593750e-01
-4.97799953e-06,-1.18015625e-01
-4.97795953e-06,-1.67343750e-02
-4.97791953e-06,9.98281250e-02
-4.97787953e-06,1.56125000e-01
-4.97783953e-06,1.49578125e-01
-4.97779953e-06,1.14421875e-01
-4.97775953e-06,8.66718750e-02
-4.97771953e-06,8.65625000e-03
-4.97767953e-06,-1.13484375e-01
-4.97763953e-06,-1.77953125e-01
-4.97759953e-06,-1.53796875e-01
-4.97755953e-06,-1.03000000e-01
-4.97751953e-06,-7.55468750e-02
-4.97747953e-06,-1.91718750e-02
-4.97743953e-06,9.60781250e-02
-4.97739953e-06,1.78937500e-01
-4.97735953e-06,1.55156250e-01
-4.97731953e-06,8.53437500e-02
-4.97727953e-06,4.13906250e-02
-4.97723953e-06,-9.87500000e-03
-4.97719953e-06,-9.55781250e-02
-4.97715953e-06,-1.83718750e-01
-4.97711953e-06,-1.93125000e-01
-4.97707953e-06,-9.86875000e-02
-4.97703953e-06,-1.72343750e-02
-4.97699953e-06,2.52968750e-02
-4.97695953e-06,9.22812500e-02
-4.97691953e-06,1.65593750e-01
-4.97687953e-06,1.88500000e-01
-4.97683953e-06,1.03343750e-01
-4.97679953e-06,-8.21875000e-03
-4.97675953e-06,-5.45781250e-02
-4.97671953e-06,-1.04125000e-01
-4.97667953e-06,-1.58984375e-01
-4.97663953e-06,-1.76843750e-01
-4.97659953e-06,-1.24750000e-01
-4.97655953e-06,-2.03125000e-04
-4.97651953e-06,8.03906250e-02
-4.97647953e-06,1.11625000e-01
-4.97643953e-06,1.46078125e-01
-4.97639953e-06,1.55062500e-01
-4.97635953e-06,1.15062500e-01
-4.97631953e-06,-9.50000000e-03
-4.97627953e-06,-1.16828125e-01
-4.97623953e-06,-1.28125000e-01
-4.97619953e-06,-1.40843750e-01
-4.97615953e-06,-1.47843750e-01
-4.97611953e-06,-1.03562500e-01
-4.97607953e-06,-7.57812500e-03
-4.97603953e-06,1.12625000e-01
-4.97599953e-06,1.58375000e-01
-4.97595953e-06,1.33265625e-01
-4.97591953e-06,1.19265625e-01
-4.97587953e-06,9.61250000e-02
-4.97583953e-06,3.84375000e-03
-4.97579953e-06,-1.20718750e-01
-4.97575953e-06,-1.80781250e-01
-4.97571953e-06,-1.49906250e-01
-4.97567953e-06,-9.85312500e-02
-4.97563953e-06,-6.87500000e-02
-4.97559953e-06,-2.65625000e-04
-4.97555953e-06,1.09406250e-01
-4.97551953e-06,1.77906250e-01
-4.97547953e-06,1.59250000e-01
-4.97543953e-06,8.62187500e-02
-4.97539953e-06,3.85937500e-02
-4.97535953e-06,-6.95312500e-03
-4.97531953e-06,-9.83750000e-02
-4.97527953e-06,-1.87468750e-01
-4.97523953e-06,-1.83828125e-01
-4.97519953e-06,-8.55937500e-02
-4.97515953e-06,-1.90937500e-02
-4.97511953e-06,3.10468750e-02
-4.97507953e-06,1.09968750e-01
-4.97503953e-06,1.65312500e-01
-4.97499953e-06,1.81500000e-01
-4.97495953e-06,9.58281250e-02
-4.97491953e-06,-2.31250000e-02
-4.97487953e-06,-6.79687500e-02
-4.97483953e-06,-1.06093750e-01
-4.97479953e-06,-1.57531250e-01
-4.97475953e-06,-1.82812500e-01
-4.97471953e-06,-1.08437500e-01
-4.97467953e-06,2.12187500e-02
-4.97463953e-06,7.67343750e-02
-4.97459953e-06,1.13046875e-01
-4.97455953e-06,1.49750000e-01
-4.97451953e-06,1.56296875e-01
-4.97447953e-06,1.08093750e-01
-4.97443953e-06,-2.46562500e-02
-4.97439953e-06,-1.16203125e-01
-4.97435953e-06,-1.30796875e-01
-4.97431953e-06,-1.43234375e-01
-4.97427953e-06,-1.48171875e-01
-4.97423953e-06,-1.07781250e-01
-4.97419953e-06,9.95312500e-03
-4.97415953e-06,1.19031250e-01
-4.97411953e-06,1.51765625e-01
-4.97407953e-06,1.39062500e-01
-4.97403953e-06,1.10593750e-01
-4.97399953e-06,7.97656250e-02
-4.97395953e-06,-1.27187500e-02
-4.97391953e-06,-1.40328125e-01
-4.97387953e-06,-1.86609375e-01
-4.97383953e-06,-1.49343750e-01
-4.97379953e-06,-1.01953125e-01
-4.97375953e-06,-5.86406250e-02
-4.97371953e-06,2.07343750e-02
-4.97367953e-06,1.22406250e-01
-4.97363953e-06,1.87656250e-01
-4.97359953e-06,1.56812500e-01
-4.97355953e-06,7.73437500e-02
-4.97351953e-06,3.38125000e-02
-4.97347953e-06,-2.72812500e-02
-4.97343953e-06,-1.19765625e-01
-4.97339953e-06,-1.86890625e-01
-4.97335953e-06,-1.74015625e-01
-4.97331953e-06,-7.62656250e-02
-4.97327953e-06,-8.14062500e-03
-4.97323953e-06,3.28906250e-02
-4.97319953e-06,1.15265625e-01
-4.97315953e-06,1.81828125e-01
-4.97311953e-06,1.72984375e-01
-4.97307953e-06,7.80625000e-02
-4.97303953e-06,-2.26562500e-02
-4.97299953e-06,-7.01250000e-02
-4.97295953e-06,-1.12703125e-01
-4.97291953e-06,-1.64609375e-01
-4.97287953e-06,-1.76187500e-01
-4.97283953e-06,-8.64218750e-02
-4.97279953e-06,3.42500000e-02
-4.97275953e-06,8.79843750e-02
-4.97271953e-06,1.18062500e-01
-4.97267953e-06,1.48265625e-01
-4.97263953e-06,1.56593750e-01
-4.97259953e-06,9.20156250e-02
-4.97255953e-06,-3.65312500e-02
-4.97251953e-06,-1.17750000e-01
-4.97247953e-06,-1.37890625e-01
-4.97243953e-06,-1.38531250e-01
-4.97239953e-06,-1.36687500e-01
-4.97235953e-06,-9.15937500e-02
-4.97231953e-06,3.24531250e-02
-4.97227953e-06,1.34796875e-01
-4.97223953e-06,1.49937500e-01
-4.97219953e-06,1.22437500e-01
-4.97215953e-06,1.16750000e-01
-4.97211953e-06,8.87812500e-02
-4.97207953e-06,-3.11250000e-02
-4.97203953e-06,-1.45453125e-01
-4.97199953e-06,-1.76890625e-01
-4.97195953e-06,-1.32937500e-01
-4.97191953e-06,-8.49687500e-02
-4.97187953e-06,-6.20937500e-02
-4.97183953e-06,3.01875000e-02
-4.97179953e-06,1.41671875e-01
-4.97175953e-06,1.82796875e-01
-4.97171953e-06,1.43796875e-01
-4.97167953e-06,6.33906250e-02
-4.97163953e-06,2.74531250e-02
-4.97159953e-06,-3.32031250e-02
-4.97155953e-06,-1.37453125e-01
-4.97151953e-06,-1.89796875e-01
-4.97147953e-06,-1.61578125e-01
