TIME (S),Amplitude (V)
-4.97784125e-06,9.22656250e-02
-4.97780125e-06,1.08187500e-01
-4.97776125e-06,1.36734375e-01
-4.97772125e-06,1.50968750e-01
-4.97768125e-06,1.50218750e-01
-4.97764125e-06,1.29765625e-01
-4.97760125e-06,1.04906250e-01
-4.97756125e-06,9.89687500e-02
-4.97752125e-06,7.41250000e-02
-4.97748125e-06,2.51562500e-02
-4.97744125e-06,1.00000000e-03
-4.97740125e-06,-8.68750000e-03
-4.97736125e-06,-2.59062500e-02
-4.97732125e-06,-3.31875000e-02
-4.97728125e-06,-2.09843750e-02
-4.97724125e-06,3.59375000e-04
-4.97720125e-06,1.57031250e-02
-4.97716125e-06,4.85625000e-02
-4.97712125e-06,8.54375000e-02
-4.97708125e-06,1.01125000e-01
-4.97704125e-06,1.29203125e-01
-4.97700125e-06,1.44640625e-01
-4.97696125e-06,1.47843750e-01
-4.97692125e-06,1.52890625e-01
-4.97688125e-06,1.18546875e-01
-4.97684125e-06,9.39843750e-02
-4.97680125e-06,8.65937500e-02
-4.97676125e-06,4.55781250e-02
-4.97672125e-06,4.62500000e-03
-4.97668125e-06,-1.57656250e-02
-4.97664125e-06,-2.21093750e-02
-4.97660125e-06,-3.07500000e-02
-4.97656125e-06,-3.99218750e-02
-4.97652125e-06,-9.75000000e-03
-4.97648125e-06,2.38750000e-02
-4.97644125e-06,3.09687500e-02
-4.97640125e-06,6.52812500e-02
-4.97636125e-06,1.05953125e-01
-4.97632125e-06,1.21718750e-01
-4.97628125e-06,1.35015625e-01
-4.97624125e-06,1.40312500e-01
-4.97620125e-06,1.51000000e-01
-4.97616125e-06,1.43031250e-01
-4.97612125e-06,9.95156250e-02
-4.97608125e-06,7.12968750e-02
-4.97604125e-06,5.77656250e-02
-4.97600125e-06,3.28281250e-02
-4.97596125e-06,-6.25000000e-03
-4.97592125e-06,-2.92812500e-02
-4.97588125e-06,-2.45625000e-02
-4.97584125e-06,-2.26875000e-02
-4.97580125e-06,-2.26250000e-02
-4.97576125e-06,-8.90625000e-04
-4.97572125e-06,3.97812500e-02
-4.97568125e-06,6.14687500e-02
-4.97564125e-06,7.95625000e-02
-4.97560125e-06,1.18875000e-01
-4.97556125e-06,1.38875000e-01
-4.97552125e-06,1.40312500e-01
-4.97548125e-06,1.42328125e-01
-4.97544125e-06,1.43500000e-01
-4.97540125e-06,1.24390625e-01
-4.97536125e-06,8.59218750e-02
-4.97532125e-06,6.35781250e-02
-4.97528125e-06,3.58281250e-02
-4.97524125e-06,3.90625000e-04
-4.97520125e-06,-2.13281250e-02
-4.97516125e-06,-2.75468750e-02
-4.97512125e-06,-1.94687500e-02
-4.97508125e-06,-2.11875000e-02
-4.97504125e-06,-8.37500000e-03
-4.97500125e-06,2.50312500e-02
-4.97496125e-06,4.83593750e-02
-4.97492125e-06,7.88281250e-02
-4.97488125e-06,1.09468750e-01
-4.97484125e-06,1.32156250e-01
-4.97480125e-06,1.55140625e-01
-4.97476125e-06,1.46531250e-01
-4.97472125e-06,1.31984375e-01
-4.97468125e-06,1.36046875e-01
-4.97464125e-06,1.01953125e-01
-4.97460125e-06,5.97343750e-02
-4.97456125e-06,4.14062500e-02
-4.97452125e-06,1.11250000e-02
-4.97448125e-06,-1.05312500e-02
-4.97444125e-06,-2.57031250e-02
-4.97440125e-06,-3.10468750e-02
-4.97436125e-06,-1.25937500e-02
-4.97432125e-06,-1.17187500e-02
-4.97428125e-06,5.26562500e-03
-4.97424125e-06,4.81875000e-02
-4.97420125e-06,6.95468750e-02
-4.97416125e-06,9.85625000e-02
-4.97412125e-06,1.28125000e-01
-4.97408125e-06,1.39125000e-01
-4.97404125e-06,1.50031250e-01
-4.97400125e-06,1.44265625e-01
-4.97396125e-06,1.28843750e-01
-4.97392125e-06,1.10156250e-01
-4.97388125e-06,7.11406250e-02
-4.97384125e-06,4.03593750e-02
-4.97380125e-06,2.59218750e-02
-4.97376125e-06,3.07812500e-03
-4.97372125e-06,-2.08906250e-02
-4.97368125e-06,-3.18281250e-02
-4.97364125e-06,-2.52812500e-02
-4.97360125e-06,-1.19531250e-02
-4.97356125e-06,-5.31250000e-04
-4.97352125e-06,2.95625000e-02
-4.97348125e-06,6.78593750e-02
-4.97344125e-06,8.73593750e-02
-4.97340125e-06,1.09968750e-01
-4.97336125e-06,1.35234375e-01
-4.97332125e-06,1.47109375e-01
-4.97328125e-06,1.49296875e-01
-4.97324125e-06,1.36046875e-01
-4.97320125e-06,1.25125000e-01
-4.97316125e-06,1.05312500e-01
-4.97312125e-06,5.43281250e-02
-4.97308125e-06,2.13281250e-02
-4.97304125e-06,1.40468750e-02
-4.97300125e-06,-1.24843750e-02
-4.97296125e-06,-3.58750000e-02
-4.97292125e-06,-2.84843750e-02
-4.97288125e-06,-1.39218750e-02
-4.97284125e-06,-2.89062500e-03
-4.97280125e-06,1.54687500e-02
-4.97276125e-06,5.27812500e-02
-4.97272125e-06,8.85468750e-02
-4.97268125e-06,1.07359375e-01
-4.97264125e-06,1.28203125e-01
-4.97260125e-06,1.44906250e-01
-4.97256125e-06,1.51046875e-01
-4.97252125e-06,1.36078125e-01
-4.97248125e-06,1.11578125e-01
-4.97244125e-06,1.02890625e-01
-4.97240125e-06,7.41250000e-02
-4.97236125e-06,2.70781250e-02
-4.97232125e-06,-6.09375000e-04
-4.97228125e-06,-1.19218750e-02
-4.97224125e-06,-2.10937500e-02
-4.97220125e-06,-3.66250000e-02
-4.97216125e-06,-3.12500000e-02
-4.97212125e-06,-2.32812500e-03
-4.97208125e-06,1.12500000e-02
-4.97204125e-06,3.43906250e-02
-4.97200125e-06,8.03750000e-02
-4.97196125e-06,1.10687500e-01
-4.97192125e-06,1.24671875e-01
-4.97188125e-06,1.35437500e-01
-4.97184125e-06,1.52921875e-01
-4.97180125e-06,1.55296875e-01
-4.97176125e-06,1.24546875e-01
-4.97172125e-06,9.97812500e-02
-4.97168125e-06,8.08750000e-02
-4.97164125e-06,4.61562500e-02
-4.97160125e-06,8.62500000e-03
-4.97156125e-06,-1.15468750e-02
-4.97152125e-06,-1.73125000e-02
-4.97148125e-06,-2.44531250e-02
-4.97144125e-06,-2.28281250e-02
-4.97140125e-06,-1.15312500e-02
-4.97136125e-06,1.50312500e-02
-4.97132125e-06,3.97343750e-02
-4.97128125e-06,5.13593750e-02
-4.97124125e-06,9.43593750e-02
-4.97120125e-06,1.30843750e-01
-4.97116125e-06,1.31531250e-01
-4.97112125e-06,1.42781250e-01
-4.97108125e-06,1.54765625e-01
