TIME (S),Amplitude (V)
-4.97810453e-06,-1.84375000e-02
-4.97806453e-06,-9.96406250e-02
-4.97802453e-06,-1.69000000e-01
-4.97798453e-06,-1.78296875e-01
-4.97794453e-06,-8.68593750e-02
-4.97790453e-06,2.61250000e-02
-4.97786453e-06,7.56406250e-02
-4.97782453e-06,1.07375000e-01
-4.97778453e-06,1.37828125e-01
-4.97774453e-06,1.49125000e-01
-4.97770453e-06,7.34375000e-02
-4.97766453e-06,-6.47343750e-02
-4.97762453e-06,-1.37343750e-01
-4.97758453e-06,-1.37265625e-01
-4.97754453e-06,-1.25468750e-01
-4.97750453e-06,-1.13453125e-01
-4.97746453e-06,-5.03437500e-02
-4.97742453e-06,7.07968750e-02
-4.97738453e-06,1.62312500e-01
-4.97734453e-06,1.55937500e-01
-4.97730453e-06,9.34062500e-02
-4.97726453e-06,4.90000000e-02
-4.97722453e-06,1.78125000e-03
-4.97718453e-06,-8.60937500e-02
-4.97714453e-06,-1.79718750e-01
-4.97710453e-06,-1.80468750e-01
-4.97706453e-06,-8.40156250e-02
-4.97702453e-06,-4.39062500e-03
-4.97698453e-06,4.85156250e-02
-4.97694453e-06,9.95625000e-02
-4.97690453e-06,1.48531250e-01
-4.97686453e-06,1.61484375e-01
-4.97682453e-06,7.05781250e-02
-4.97678453e-06,-5.49687500e-02
-4.97674453e-06,-1.17328125e-01
-4.97670453e-06,-1.18640625e-01
-4.97666453e-06,-1.30937500e-01
-4.97662453e-06,-1.45593750e-01
-4.97658453e-06,-6.33437500e-02
-4.97654453e-06,6.13125000e-02
-4.97650453e-06,1.44500000e-01
-4.97646453e-06,1.46640625e-01
-4.97642453e-06,9.53437500e-02
-4.97638453e-06,8.21093750e-02
-4.97634453e-06,2.58281250e-02
-4.97630453e-06,-9.11562500e-02
-4.97626453e-06,-1.67578125e-01
-4.97622453e-06,-1.69140625e-01
-4.97618453e-06,-8.92500000e-02
-4.97614453e-06,-2.23750000e-02
-4.97610453e-06,1.65000000e-02
-4.97606453e-06,9.32812500e-02
-4.97602453e-06,1.68718750e-01
-4.97598453e-06,1.74984375e-01
-4.97594453e-06,7.79062500e-02
-4.97590453e-06,-2.96250000e-02
-4.97586453e-06,-8.38437500e-02
-4.97582453e-06,-1.17906250e-01
-4.97578453e-06,-1.40078125e-01
-4.97574453e-06,-1.51156250e-01
-4.97570453e-06,-7.53906250e-02
-4.97566453e-06,6.05156250e-02
-4.97562453e-06,1.31765625e-01
-4.97558453e-06,1.36656250e-01
-4.97554453e-06,1.14359375e-01
-4.97550453e-06,1.03453125e-01
-4.97546453e-06,4.24375000e-02
-4.97542453e-06,-9.05000000e-02
-4.97538453e-06,-1.71937500e-01
-4.97534453e-06,-1.67218750e-01
-4.97530453e-06,-1.05250000e-01
-4.97526453e-06,-4.97343750e-02
-4.97522453e-06,-2.03125000e-03
-4.97518453e-06,9.27500000e-02
-4.97514453e-06,1.75281250e-01
-4.97510453e-06,1.74078125e-01
-4.97506453e-06,7.82031250e-02
-4.97502453e-06,-2.01250000e-02
-4.97498453e-06,-5.82500000e-02
-4.97494453e-06,-1.05281250e-01
-4.97490453e-06,-1.62812500e-01
-4.97486453e-06,-1.60125000e-01
-4.97482453e-06,-6.63125000e-02
-4.97478453e-06,5.17812500e-02
-4.97474453e-06,1.12640625e-01
-4.97470453e-06,1.22468750e-01
-4.97466453e-06,1.22500000e-01
-4.97462453e-06,1.21078125e-01
-4.97458453e-06,4.78593750e-02
-4.97454453e-06,-8.15781250e-02
-4.97450453e-06,-1.59609375e-01
-4.97446453e-06,-1.57171875e-01
-4.97442453e-06,-1.06156250e-01
-4.97438453e-06,-6.84375000e-02
-4.97434453e-06,-1.15781250e-02
-4.97430453e-06,9.23593750e-02
-4.97426453e-06,1.69265625e-01
-4.97422453e-06,1.70984375e-01
-4.97418453e-06,8.23125000e-02
-4.97414453e-06,2.68750000e-03
-4.97410453e-06,-3.46406250e-02
-4.97406453e-06,-1.08031250e-01
-4.97402453e-06,-1.69640625e-01
-4.97398453e-06,-1.65734375e-01
-4.97394453e-06,-7.82343750e-02
-4.97390453e-06,3.60781250e-02
-4.97386453e-06,8.46562500e-02
